scope,module_path,label,source_status,complete,missing_files,rebrand_status
"launch","launch/launch_header_dark.module","Launch - Header - Centered logo - Dark","local and live","true","","pending"
"launch","launch/launch_header_teal.module","Launch - Header - Centered logo - Teal","local and live","true","","pending"
"launch","launch/launch_hero_image.module","Launch - Image - Hero image - Light","local and live","true","","pending"
"launch","launch/launch_hero_image_dark.module","Launch - Image - Hero image - Dark","local and live","true","","pending"
"launch","launch/launch_hero_image_teal.module","Launch - Image - Hero image - Teal","local and live","true","","pending"
"launch","launch/launch_offer_discount.module","Launch - Text - Offer discount - Light","local and live","true","","pending"
"launch","launch/launch_offer_discount_dark.module","Launch - Text - Offer discount - Dark","local and live","true","","pending"
"launch","launch/launch_offer_discount_teal.module","Launch - Text - Offer discount - Teal","local and live","true","","pending"
"launch","launch/launch_opening_text.module","Launch - Text - Opening - Light","local and live","true","","pending"
"launch","launch/launch_opening_text_dark.module","Launch - Text - Opening - Dark","local and live","true","","pending"
"launch","launch/launch_opening_text_teal.module","Launch - Text - Opening - Teal","local and live","true","","pending"
"launch","launch/launch_product_grid3.module","Launch - Products - Three product grid - Light","local and live","true","","pending"
"launch","launch/launch_product_grid3_dark.module","Launch - Products - Three product grid - Dark","local and live","true","","pending"
"launch","launch/launch_question_list.module","Launch - Text - Question list - Light","local and live","true","","pending"
"launch","launch/launch_question_list_dark.module","Launch - Text - Question list - Dark","local and live","true","","pending"
"launch","launch/launch_testimonials.module","Launch - List - Testimonials - Light","local and live","true","","pending"
"launch","launch/launch_testimonials_dark.module","Launch - List - Testimonials - Dark","local and live","true","","pending"
"launch","launch/launch_testimonials_teal.module","Launch - List - Testimonials - Teal","local and live","true","","pending"
"launch","launch/launch_trust_strip.module","Launch - List - Trust strip (4-col) - Light","local and live","true","","pending"
"launch","launch/launch_trust_strip_dark.module","Launch - List - Trust strip (4-col) - Dark","local and live","true","","pending"
"launch","launch/launch_trust_strip_teal.module","Launch - List - Trust strip (4-col) - Teal","local and live","true","","pending"
"launch","launch/launch_why_it_matters.module","Launch - Text - Why it matters (stat card) - Light","local and live","true","","pending"
"launch","launch/launch_why_it_matters_dark.module","Launch - Text - Why it matters (stat card) - Dark","local and live","true","","pending"
"launch","launch/launch_why_it_matters_teal.module","Launch - Text - Why it matters (stat card) - Teal","local and live","true","","pending"
"launch","launch/launch_wordmark_pair.module","Launch - Image - Logo system - Light","local and live","true","","pending"
"launch","launch/launch_wordmark_pair_dark.module","Launch - Image - Logo system - Dark","local and live","true","","pending"
"newsletter","newsletter/newsletter_cta_dark.module","Newsletter - Button - Primary CTA - Dark","local and live","true","","pending"
"newsletter","newsletter/newsletter_cta_light.module","Newsletter - Button - Primary CTA - Light","local and live","true","","pending"
"newsletter","newsletter/newsletter_feature_dark.module","Newsletter - Image - Feature story - Dark","local and live","true","","pending"
"newsletter","newsletter/newsletter_feature_light.module","Newsletter - Image - Feature story - Light","local and live","true","","pending"
"newsletter","newsletter/newsletter_footer_dark.module","Newsletter - Footer - Standard - Dark","local and live","true","","pending"
"newsletter","newsletter/newsletter_footer_light.module","Newsletter - Footer - Standard - Light","local and live","true","","pending"
"newsletter","newsletter/newsletter_masthead_dark.module","Newsletter - Text - Masthead - Dark","local and live","true","","pending"
"newsletter","newsletter/newsletter_masthead_light.module","Newsletter - Text - Masthead - Light","local and live","true","","pending"
"newsletter","newsletter/newsletter_pullquote_dark.module","Newsletter - Text - Pull quote - Dark","local and live","true","","pending"
"newsletter","newsletter/newsletter_pullquote_light.module","Newsletter - Text - Pull quote - Light","local and live","true","","pending"
"newsletter","newsletter/newsletter_two_column_dark.module","Newsletter - Two-column - Image and text - Dark","local and live","true","","pending"
"newsletter","newsletter/newsletter_two_column_light.module","Newsletter - Two-column - Image and text - Light","local and live","true","","pending"
